,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
542,3mm,64,3.09,0.05004905808831523,1.0,0.1467146714671467,64,867180,Thin pillars
543,3mm,64,5.61,0.04131386743544646,0.9940119760479041,0.19625137816979052,62,300440,Thin pillars
544,3mm,64,3.09,0.04613727942531625,1.0,0.5412275263484191,64,558541,Thin pillars
545,3mm,64,0.52,0.12220208644472204,1.0,0.4749608763693271,64,102204,Thin pillars
546,3mm,64,3.09,0.058670258862198815,0.9920159680638723,0.1852219191668733,64,554718,Thin pillars
547,3mm,64,1.57,0.0738239666393098,1.0,0.45102147721320063,64,280684,Thin pillars
548,3mm,64,0.68,0.080323136083554,1.0,0.5409836065573771,64,129674,Thin pillars
549,3mm,64,1.57,0.07300282075323779,1.0,0.30327056491575816,58,405039,Thin pillars
550,3mm,64,3.09,0.0477640157534912,1.0,0.13558282208588956,62,816912,Thin pillars
551,3mm,64,5.61,0.06374879061549413,0.9840319361277445,0.07142857142857142,62,287909,Thin pillars
552,3mm,64,3.09,0.04956866057721549,1.0,0.5233644859813084,60,497245,Thick pillars
553,3mm,64,0.52,0.12411559971279683,1.0,0.4752808988764045,64,97365,Thick pillars
554,3mm,64,3.09,0.05696935156492629,0.9940119760479041,0.29421990438939594,61,484428,Thick pillars
555,3mm,64,1.57,0.06710529520020563,1.0,0.39200680272108845,60,278474,Thick pillars
556,3mm,64,0.68,0.08941201407804214,1.0,0.4748062015503876,64,128513,Thick pillars
557,3mm,64,1.57,0.06531087150667904,1.0,0.24772539288668322,59,428691,Thick pillars
558,3mm,64,3.09,0.043230269378700246,0.998,0.18503712164477443,59,705696,Thick pillars
559,3mm,64,5.61,0.055932161811712275,0.9740518962075848,0.1023371104815864,60,282841,Thick pillars
560,3mm,64,3.09,0.05553542074718527,1.0,0.3945054945054945,61,542095,Thick pillars
561,3mm,64,0.52,0.10970638853608176,1.0,0.43523316062176165,64,110298,Thick pillars
562,3mm,64,3.09,0.05651254987538124,0.9920159680638723,0.35997335997336,62,552484,Thick pillars
563,3mm,64,1.57,0.19146563521434937,1.0,0.09488013002844373,60,253520,Thick pillars
564,3mm,64,0.68,0.08915648500274645,1.0,0.5927791771620488,60,133610,Thick pillars
565,3mm,64,1.57,0.098013196952253,1.0,0.29949664429530204,59,456105,Thick pillars
566,3mm,64,3.09,0.037959961758170326,1.0,0.19184652278177458,60,750260,Thick pillars
567,3mm,64,5.61,0.060792236771406355,1.0,0.14650145772594753,60,293901,Thick pillars
568,3mm,64,3.09,0.05377435907922533,0.996,0.48223350253807107,60,506764,Thick pillars
569,3mm,64,0.52,0.11249360939518573,1.0,0.4884004884004884,64,101937,Thick pillars
570,3mm,64,3.09,0.042605333316721575,0.9940119760479041,0.31611454239191467,62,486680,Thick pillars
571,3mm,64,1.57,0.07263686315217258,1.0,0.29551020408163264,60,277434,Thick pillars
572,3mm,64,0.68,0.07799344627884046,1.0,0.603530210454854,64,129620,Thick pillars
573,3mm,64,1.57,0.05542869438810448,1.0,0.32575757575757575,56,330922,Thick pillars
574,3mm,64,3.09,0.06425122930173234,1.0,0.16972767574414185,59,690182,Thick pillars
575,3mm,64,5.61,0.06518665294559108,0.9780439121756487,0.09289617486338798,60,282233,Thick pillars
576,3mm,32,3.09,0.04124897738470541,1.0,0.26840649844452125,32,314575,No pillars
577,3mm,32,0.52,0.1320083291076616,1.0,0.30284301606922126,32,48923,No pillars
578,3mm,32,3.09,0.040518734760236735,1.0,0.27645529105821165,32,297168,No pillars
579,3mm,32,1.57,0.06318370061413685,1.0,0.3934880498787669,32,144677,No pillars
580,3mm,32,0.68,0.10812981220415405,1.0,0.4727435210008937,32,64749,No pillars
581,3mm,32,1.57,0.06169216163902879,1.0,0.21605431309904152,32,310369,No pillars
582,3mm,32,3.09,0.050670617215551356,1.0,0.32001348845051425,32,517420,No pillars
583,3mm,32,5.61,0.09972481739812118,0.9580838323353293,0.16587301587301587,32,148368,No pillars
584,3mm,32,3.09,0.05206121727516378,0.996,0.37276166456494325,32,326451,No pillars
585,3mm,32,0.52,0.14397200906393523,1.0,0.312063344201211,32,55322,No pillars
586,3mm,32,3.09,0.06336287788559405,1.0,0.1657398121980126,32,312459,No pillars
587,3mm,32,1.57,0.08689583806831087,1.0,0.21518275538894097,32,140483,No pillars
588,3mm,32,0.68,0.07625693008755745,1.0,0.37599153886832365,32,70751,No pillars
589,3mm,32,1.57,0.13276445438348958,1.0,0.23704687796545834,32,312786,No pillars
590,3mm,32,3.09,0.06753719604249594,0.948,0.22560907776170874,32,525303,No pillars
591,3mm,32,5.61,0.04999877053303931,0.9960079840319361,0.15629124505059394,32,157669,No pillars
592,3mm,32,3.09,0.03704954038312902,1.0,0.2486570784959279,32,311677,No pillars
593,3mm,32,0.52,0.21513067611912595,1.0,0.1292051205715987,32,51381,No pillars
594,3mm,32,3.09,0.04792281487697854,1.0,0.537196261682243,32,315412,No pillars
595,3mm,32,1.57,0.06163519239611493,1.0,0.4573065902578797,32,144045,No pillars
596,3mm,32,0.68,0.10481711526804134,0.9960079840319361,0.4413377192982456,32,64676,No pillars
597,3mm,32,1.57,0.06343662982960273,1.0,0.3588901058780577,32,246796,No pillars
598,3mm,32,3.09,0.06942731749685804,0.948,0.27294557097118466,32,512989,No pillars
599,3mm,32,5.61,0.0731656615675251,0.9241516966067864,0.18753573470554602,32,149917,No pillars
600,3mm,32,3.09,0.04712251185669127,1.0,0.3062645011600928,32,259941,Thin pillars
601,3mm,32,0.52,0.11031395561661586,1.0,0.32404603270745,32,48531,Thin pillars
602,3mm,32,3.09,0.04691624725785034,1.0,0.3556851311953353,32,264202,Thin pillars
603,3mm,32,1.57,0.06209605203991224,0.994,0.4592164418754014,32,138880,Thin pillars
604,3mm,32,0.68,0.11902716393437722,1.0,0.4369703389830508,32,64457,Thin pillars
605,3mm,32,1.57,0.05803094807138458,1.0,0.30655509065550907,27,217779,Thin pillars
606,3mm,32,3.09,0.06247853892898811,0.938,0.18367952522255193,31,391175,Thin pillars
607,3mm,32,5.61,0.06922702256178581,0.8323353293413174,0.11521499448732084,30,140737,Thin pillars
608,3mm,32,3.09,0.04985030406129435,1.0,0.28926528816542013,31,278981,Thin pillars
609,3mm,32,0.52,0.11745664431745642,1.0,0.31094410521371535,32,55320,Thin pillars
610,3mm,32,3.09,0.0618963158098601,1.0,0.20662549129702415,31,278781,Thin pillars
